in/test4.inTime: 0.030000ms
Memory: 1.550781kB
in/test13.inTime: 0.472000ms
Memory: 1.550781kB
in/test2.inTime: 0.062000ms
Memory: 1.550781kB
in/test12.inTime: 0.487000ms
Memory: 1.550781kB
in/test5.inTime: 0.032000ms
Memory: 1.550781kB
in/test7.inTime: 0.008000ms
Memory: 1.550781kB
in/test1.inTime: 0.061000ms
Memory: 1.550781kB
in/test10.inTime: 0.010000ms
Memory: 1.550781kB
in/test20.inTime: 0.242000ms
Memory: 1.550781kB
in/test15.inTime: 0.150000ms
Memory: 1.550781kB
in/test18.inTime: 0.394000ms
Memory: 1.550781kB
in/test11.inTime: 0.408000ms
Memory: 1.550781kB
in/test8.inTime: 0.015000ms
Memory: 1.550781kB
in/test19.inTime: 0.550000ms
Memory: 1.550781kB
in/test9.inTime: 0.011000ms
Memory: 1.550781kB
in/test14.inTime: 0.500000ms
Memory: 1.550781kB
in/test6.inTime: 0.014000ms
Memory: 1.550781kB
in/test3.inTime: 0.043000ms
Memory: 1.550781kB
in/test16.inTime: 0.494000ms
Memory: 1.550781kB
in/test17.inTime: 0.526000ms
Memory: 1.550781kB
