in/test4.inTime: 0.023000ms
Memory: 1.519531kB
in/test13.inTime: 35.786000ms
Memory: 1.519531kB
in/test2.inTime: 0.059000ms
Memory: 1.519531kB
in/test12.inTime: 16.733000ms
Memory: 1.519531kB
in/test5.inTime: 0.008000ms
Memory: 1.519531kB
in/test7.inTime: 0.035000ms
Memory: 1.519531kB
in/test1.inTime: 0.020000ms
Memory: 1.519531kB
in/test10.inTime: 0.003000ms
Memory: 1.519531kB
in/test20.inTime: 5.786000ms
Memory: 1.519531kB
in/test15.inTime: 5.779000ms
Memory: 1.519531kB
in/test18.inTime: 13.324000ms
Memory: 1.519531kB
in/test11.inTime: 10.954000ms
Memory: 1.519531kB
in/test8.inTime: 0.005000ms
Memory: 1.519531kB
in/test19.inTime: 14.353000ms
Memory: 1.519531kB
in/test9.inTime: 0.003000ms
Memory: 1.519531kB
in/test14.inTime: 14.335000ms
Memory: 1.519531kB
in/test6.inTime: 0.008000ms
Memory: 1.519531kB
in/test3.inTime: 0.014000ms
Memory: 1.519531kB
in/test16.inTime: 11.002000ms
Memory: 1.519531kB
in/test17.inTime: 12.493000ms
Memory: 1.519531kB
